Method,Build Time (s),Index Size (GB)
Mean Pooling (FlatL2),0.028988361358642578,0.04768375772982836
PCA + FlatL2,0.0005125999450683594,0.0023842277005314827
Product Quantization (PQ),1.0407180786132812,0.00151880644261837
DCT Fingerprinting,0.7624073028564453,0.0023842277005314827
TEA Alphabet,3.712228298187256,0.0007450999692082405
Knowledge Distillation (BiLSTM),0.00416111946105957,0.009536785073578358
